SerialNumber, acc: x_acc, y_acc, z_acc, gyro: x_value, y_value, z_value
582, 13073, -0.20, 0.11, 1.01
583, 13096, 0.23, 0.09, 1.05
584, 13120, 0.33, -0.01, 0.99
585, 13143, 0.12, -0.15, 1.07
586, 13166, -0.05, -0.03, 1.04
587, 13189, 0.04, 0.02, 1.17
588, 13213, 0.15, -0.05, 1.09
589, 13236, 0.05, -0.05, 1.06
590, 13259, 0.03, 0.06, 1.29
591, 13282, 0.23, 0.05, 1.50
592, 13307, 0.48, 0.08, 1.47
593, 13330, 0.36, 0.05, 1.32
594, 13354, 0.37, 0.36, 1.08
595, 13377, 0.19, 0.59, 0.93
596, 13400, 0.18, 0.92, 0.64
597, 13423, 0.17, 0.99, 0.90
598, 13446, 0.68, 0.99, 1.08
599, 13470, 0.49, 0.41, 1.52
600, 13493, -0.53, -0.02, 0.93
601, 13516, -1.09, 0.13, -0.07
602, 13539, -1.11, -0.57, -0.14
603, 13563, -0.82, -0.52, 0.39
604, 13586, -0.69, -0.67, 0.57
605, 13609, -0.67, -0.97, 0.54
606, 13632, -0.68, -0.93, 0.57
607, 13656, -0.64, -1.01, 0.67
608, 13679, -0.15, -1.22, 1.09
609, 13710, 0.27, -0.34, 0.47
610, 13733, -0.23, 0.48, 0.44
611, 13756, -0.62, 0.99, 0.46
612, 13779, -0.29, 0.22, 1.09
613, 13803, -0.16, -0.31, 0.74
614, 13826, -0.57, -0.42, 0.65
615, 13849, -0.33, -0.33, 1.00
616, 13873, -0.09, -0.03, 0.45
617, 13896, 0.95, 0.99, 0.58
